"idno"	"chip_meth"	"pos_meth"	"site"	"bcell"	"tcell"	"nkcell"	"neutro"
4011104	5854945042	"R04"	"COL"	0.0573570387760705	0.000108365843086267	0.0267687808233907	0.230549247844699
4011112	6229025008	"R06"	"COL"	0.0782089691193591	0.176257043779801	0.0994421274982398	0.249461082590662
4011120	6229025010	"R05"	"COL"	0.0930558060377785	0.0433337149958707	0.18501868602069	0.210724135069916
4011163	6229017158	"R04"	"COL"	0.0820103420532835	0.273754917869654	0.129881384390402	0.150327660577504
4011171	6055574023	"R05"	"COL"	0.136698632701872	0.00184221933246642	0.0817851920056328	0.262589348428224
4011228	5854945022	"R05"	"COL"	0.153716497103069	0.0957375832147126	0.0695444943941937	0.237384676106035
4011244	5854671023	"R06"	"COL"	0.05907218729677	0.307162982228002	0.181389806640308	0.212100854172646
4011457	6229076077	"R05"	"COL"	0.0792363721589516	0.0430224003825388	0.135730921302064	0.278470426382335
4011465	6229017126	"R03"	"COL"	0.135161732438129	0.00520156046814046	0.103829280181986	0.212386199734594
4011473	5806361049	"R02"	"COL"	0.0725538080423014	0.00232986562635462	0.0728483995017061	0.243821881753921
4011503	7810920110	"R04"	"COL"	0.0850455478456792	0.00433463372345033	0.104069595308024	0.185075088130309
4011511	7810920009	"R06"	"COL"	0.102435633388085	0.00455136540962287	0.111549577183535	0.229993316289913
4011554	6229033043	"R04"	"COL"	0.487472548217581	0.0453511053315995	0.123490223690624	0.296323382040371
4011589	5854945024	"R02"	"COL"	0.061246705318243	0.0135457303857824	0.202487328815538	0.15837678707749
4011660	7800246109	"R01"	"COL"	0.0935096436075964	0.000379280450801933	0.0615826247088772	0.233609422207069
4011686	5806361057	"R02"	"COL"	0.113660037328406	0.00249241439098391	0.167632562422142	0.222817612443972
4011694	6229017137	"R06"	"COL"	0.0829202316000525	0.00146293888166449	0.184422899853762	0.190413724095127
4011716	5806361008	"R04"	"COL"	0.11252434635493	0.047626788036411	0.141180436538538	0.252224130975211
4011740	6055574024	"R01"	"COL"	0.116371020836755	0.0238946684005201	0.0929124603795471	0.205875374414758
4011775	6190773029	"R01"	"COL"	0.250059582902812	0.00130039011703509	0.0287602231490007	0.186020116743955
4011783	5806361040	"R03"	"COL"	0.410671363035074	0.00368443866493284	0.15262720621699	0.239611210045858
4011813	5854945022	"R06"	"COL"	0.106951438751899	0.00682704811443435	0.140713860152738	0.200504259158289
4011864	5806361049	"R01"	"COL"	0.117066604689692	0.0359291581489478	0.0667548613489128	0.211285243486798
4011872	7810920037	"R02"	"COL"	0.120137819650968	0.000216731686172533	0.0239446298001212	0.189143828642873
4011929	6229017114	"R01"	"COL"	0.0791152589103075	0.000270914607715667	0.105454151546336	0.216626732909615
4011996	6190773033	"R05"	"COL"	0.283986602712638	0.101475884483882	0.152250446839625	0.250953299445371
4012038	5854945022	"R06"	"COL"	0.0583759973251629	0.0817078456870395	0.11948220765856	0.201360803007998
4012062	8221916052	"R05"	"COL"	0.113952713271306	0.0157130472475075	0.120511292855982	0.246441642784868
4012100	6229025022	"R01"	"COL"	0.356490301352069	0.00449718248807973	0.158479120402968	0.24381738551363
4012194	6247004010	"R06"	"COL"	0.403825583733715	0.342219332466407	0.162353932625706	0.242849702427494
4012216	5854945036	"R02"	"COL"	0.135472386578531	0.126192024273949	0.175546909323786	0.251005579659209
4012232	5806361050	"R03"	"COL"	0.609772993771227	0.0137082791504118	0.0285977360125657	0.179896298067531
4012330	6229017163	"R04"	"COL"	0.0978148162533162	0.00135457303857822	0.0515084222499053	0.179745984784294
4012356	7800246180	"R01"	"COL"	0.10425329449453	0.00400953619419164	0.211449926880789	0.179222657692885
4012399	7810920057	"R03"	"COL"	0.1454343413675	0.0003250975292588	0.193305529978877	0.163813532783413
4012429	6190773023	"R05"	"COL"	0.511444948437893	0.217381881231036	0.15236792937608	0.206013901204882
4012461	7810920110	"R02"	"COL"	0.0345679879838114	0.0697334200260078	0.0118615609597573	0.212171958102806
4012488	5806361049	"R02"	"COL"	0.411258172182953	0.00455136540962287	0.0490551169628682	0.207720935418229
4012496	5806361043	"R06"	"COL"	0.0899772194602429	0.0152254009536195	0.0724217971943479	0.177675918888399
4012518	6229076048	"R06"	"COL"	0.100607958877182	0.00335934113567404	0.0340681362725451	0.238695028891555
